Model,medium,hard,normal
DeepSeek-R1,1.5403,1.6444,1.3909
DeepSeek-V3,1.1796,1.1041,1.0699
gpt-4.1-mini,1.3922,1.1854,1.2104
gpt-4.1,1.2551,1.1336,1.1720
gpt-4o,1.2877,1.2500,1.1492
gpt-4,1.2303,1.2013,1.1356
inference,N/A,N/A,N/A
llama-3-70b-instruct,1.2114,1.0866,1.0980
llama-4-scout,1.0928,1.1350,1.0675
o3-mini-medium,1.9270,1.8642,1.6361
o4-mini-medium,1.1798,1.2202,1.1921
Qwen2.5-Coder-32B-Instruct,1.2069,1.1437,1.2023
Qwen2.5-VL-72B-Instruct,1.1324,1.0911,1.0527
qwen3-14b_thinking,1.2659,1.2418,1.1281
Qwen3-235B-A22B,1.2934,1.2278,1.1573
Qwen3-32B,1.2378,1.2142,1.1376
