Model,Importance_Score - hard,Importance_Score - normal,Unperturbed_query - medium
DeepSeek-R1,1.4477,1.2691,1.4789
DeepSeek-V3,1.0528,1.0340,1.1016
gpt-4.1-mini,1.0802,1.0745,1.1852
gpt-4.1,1.0510,1.0422,1.1090
gpt-4o,1.0699,1.0586,1.1276
gpt-4,1.0232,1.0531,1.0670
inference,N/A,N/A,N/A
llama-3-70b-instruct,1.0091,1.0547,1.0463
llama-4-scout,1.0794,1.0345,1.0630
o3-mini-medium,1.2262,1.2427,1.4087
o4-mini-medium,1.0999,1.0707,1.1310
Qwen2.5-Coder-32B-Instruct,1.0918,1.1412,1.1401
Qwen2.5-VL-72B-Instruct,1.0420,1.0302,1.0678
qwen3-14b_thinking,1.0415,1.0133,1.0763
Qwen3-235B-A22B,1.0595,1.0491,1.0877
Qwen3-32B,1.0525,1.0218,1.0652
