Model,medium,hard,normal
DeepSeek-R1,1.4789,1.4477,1.2691
DeepSeek-V3,1.1016,1.0528,1.0340
gpt-4.1-mini,1.1852,1.0802,1.0745
gpt-4.1,1.1090,1.0510,1.0422
gpt-4o,1.1276,1.0699,1.0586
gpt-4,1.0670,1.0232,1.0531
inference,N/A,N/A,N/A
llama-3-70b-instruct,1.0463,1.0091,1.0547
llama-4-scout,1.0630,1.0794,1.0345
o3-mini-medium,1.4087,1.2262,1.2427
o4-mini-medium,1.1310,1.0999,1.0707
Qwen2.5-Coder-32B-Instruct,1.1401,1.0918,1.1412
Qwen2.5-VL-72B-Instruct,1.0678,1.0420,1.0302
qwen3-14b_thinking,1.0763,1.0415,1.0133
Qwen3-235B-A22B,1.0877,1.0595,1.0491
Qwen3-32B,1.0652,1.0525,1.0218
