Model,medium,hard,normal
DeepSeek-R1,0.5874,0.6415,0.4775
DeepSeek-V3,0.4193,0.4162,0.4542
gpt-4.1-mini,0.3211,0.3189,0.2750
gpt-4.1,0.2883,0.2187,0.1697
gpt-4o,0.2895,0.2063,0.2862
gpt-4,0.1797,0.1900,0.3172
inference,N/A,N/A,N/A
llama-3-70b-instruct,0.1614,0.1066,0.2346
llama-4-scout,0.3250,0.3761,0.4080
o3-mini-medium,0.1417,0.0600,0.1343
o4-mini-medium,0.0815,0.1215,0.1631
Qwen2.5-Coder-32B-Instruct,0.2512,0.3412,0.3062
Qwen2.5-VL-72B-Instruct,0.2512,0.2933,0.4060
qwen3-14b_thinking,0.2163,0.1850,0.2895
Qwen3-235B-A22B,0.3028,0.2417,0.3561
Qwen3-32B,0.2596,0.2333,0.2845
