Model,Importance_Score,Unperturbed_query
DeepSeek-R1,2546.5239,3345.6997
DeepSeek-V3,593.0515,535.7103
gpt-4.1-mini,326.3455,304.8653
gpt-4.1,365.0987,332.3179
gpt-4o,335.8243,307.9253
gpt-4,242.0987,203.7685
inference,N/A,N/A
llama-3-70b-instruct,282.4363,237.4021
llama-4-scout,436.6973,376.6308
o3-mini-medium,668.2547,786.9529
o4-mini-medium,722.0468,730.2245
Qwen2.5-Coder-32B-Instruct,469.1010,428.7285
Qwen2.5-VL-72B-Instruct,529.6500,467.8212
qwen3-14b_thinking,445.8702,401.4692
Qwen3-235B-A22B,571.3315,523.7637
Qwen3-32B,590.6559,541.7436
