Model,Importance_Score - hard,Importance_Score - normal,Unperturbed_query - medium
DeepSeek-R1,3185.4621,1693.8641,3345.6997
DeepSeek-V3,615.3701,580.4615,535.7103
gpt-4.1-mini,348.9267,300.2061,304.8653
gpt-4.1,381.7481,343.7157,332.3179
gpt-4o,358.3065,319.6163,307.9253
gpt-4,264.3772,228.7316,203.7685
inference,N/A,N/A,N/A
llama-3-70b-instruct,294.3492,277.1135,237.4021
llama-4-scout,459.8889,424.7213,376.6308
o3-mini-medium,731.4286,645.5769,786.9529
o4-mini-medium,724.9863,719.8571,730.2245
Qwen2.5-Coder-32B-Instruct,470.6881,467.3587,428.7285
Qwen2.5-VL-72B-Instruct,528.9716,530.1393,467.8212
qwen3-14b_thinking,521.9369,397.3448,401.4692
Qwen3-235B-A22B,637.3310,526.6121,523.7637
Qwen3-32B,653.2357,539.4211,541.7436
