Model,medium,hard,normal
DeepSeek-R1,3345.6997,3185.4621,1693.8641
DeepSeek-V3,535.7103,615.3701,580.4615
gpt-4.1-mini,304.8653,348.9267,300.2061
gpt-4.1,332.3179,381.7481,343.7157
gpt-4o,307.9253,358.3065,319.6163
gpt-4,203.7685,264.3772,228.7316
inference,N/A,N/A,N/A
llama-3-70b-instruct,237.4021,294.3492,277.1135
llama-4-scout,376.6308,459.8889,424.7213
o3-mini-medium,786.9529,731.4286,645.5769
o4-mini-medium,730.2245,724.9863,719.8571
Qwen2.5-Coder-32B-Instruct,428.7285,470.6881,467.3587
Qwen2.5-VL-72B-Instruct,467.8212,528.9716,530.1393
qwen3-14b_thinking,401.4692,521.9369,397.3448
Qwen3-235B-A22B,523.7637,637.3310,526.6121
Qwen3-32B,541.7436,653.2357,539.4211
