Model,Importance_Score - hard,Importance_Score - normal,Unperturbed_query - medium
DeepSeek-R1,3477.3740,1374.4215,3581.4601
DeepSeek-V3,436.5738,409.1575,408.7143
gpt-4.1-mini,677.8714,573.0458,635.5119
gpt-4.1,609.0339,529.8700,560.6667
gpt-4o,407.0488,405.0088,381.9220
gpt-4,273.2468,259.3976,252.8103
inference,N/A,N/A,N/A
llama-3-70b-instruct,331.5607,300.5263,288.1723
llama-4-scout,560.4516,527.4834,515.7789
o3-mini-medium,992.9298,867.5799,945.4645
o4-mini-medium,926.3056,841.0603,855.6223
Qwen2.5-Coder-32B-Instruct,527.7985,535.4688,530.3253
Qwen2.5-VL-72B-Instruct,469.0093,445.2262,438.9688
qwen3-14b_thinking,622.8100,542.8204,516.5323
Qwen3-235B-A22B,746.2103,696.6004,685.7413
Qwen3-32B,765.8189,678.9662,708.6574
