Model,medium,hard,normal
DeepSeek-R1,3581.4601,3477.3740,1374.4215
DeepSeek-V3,408.7143,436.5738,409.1575
gpt-4.1-mini,635.5119,677.8714,573.0458
gpt-4.1,560.6667,609.0339,529.8700
gpt-4o,381.9220,407.0488,405.0088
gpt-4,252.8103,273.2468,259.3976
inference,N/A,N/A,N/A
llama-3-70b-instruct,288.1723,331.5607,300.5263
llama-4-scout,515.7789,560.4516,527.4834
o3-mini-medium,945.4645,992.9298,867.5799
o4-mini-medium,855.6223,926.3056,841.0603
Qwen2.5-Coder-32B-Instruct,530.3253,527.7985,535.4688
Qwen2.5-VL-72B-Instruct,438.9688,469.0093,445.2262
qwen3-14b_thinking,516.5323,622.8100,542.8204
Qwen3-235B-A22B,685.7413,746.2103,696.6004
Qwen3-32B,708.6574,765.8189,678.9662
