Model,Importance_Score - hard,Importance_Score - normal,Unperturbed_query - medium
DeepSeek-R1,1937.2089,1217.7909,2172.0567
DeepSeek-V3,557.3571,542.5165,454.1349
gpt-4.1-mini,294.3508,248.0242,218.9793
gpt-4.1,336.7557,293.2843,264.7688
gpt-4o,286.6452,278.1279,239.1322
gpt-4,220.0702,201.4211,165.6204
inference,N/A,N/A,N/A
llama-3-70b-instruct,270.8889,252.3688,195.9794
llama-4-scout,405.1905,397.8689,344.6410
o3-mini-medium,392.3571,394.5897,408.3765
o4-mini-medium,594.1370,603.8469,618.9388
Qwen2.5-Coder-32B-Instruct,411.5545,388.7337,355.2318
Qwen2.5-VL-72B-Instruct,484.7841,503.5820,413.1258
qwen3-14b_thinking,420.2973,352.2126,317.1462
Qwen3-235B-A22B,519.0690,455.0467,404.9615
Qwen3-32B,537.9929,474.1696,437.6603
