Model,medium,hard,normal
DeepSeek-R1,2172.0567,1937.2089,1217.7909
DeepSeek-V3,454.1349,557.3571,542.5165
gpt-4.1-mini,218.9793,294.3508,248.0242
gpt-4.1,264.7688,336.7557,293.2843
gpt-4o,239.1322,286.6452,278.1279
gpt-4,165.6204,220.0702,201.4211
inference,N/A,N/A,N/A
llama-3-70b-instruct,195.9794,270.8889,252.3688
llama-4-scout,344.6410,405.1905,397.8689
o3-mini-medium,408.3765,392.3571,394.5897
o4-mini-medium,618.9388,594.1370,603.8469
Qwen2.5-Coder-32B-Instruct,355.2318,411.5545,388.7337
Qwen2.5-VL-72B-Instruct,413.1258,484.7841,503.5820
qwen3-14b_thinking,317.1462,420.2973,352.2126
Qwen3-235B-A22B,404.9615,519.0690,455.0467
Qwen3-32B,437.6603,537.9929,474.1696
