Model,Importance_Score - hard,Importance_Score - normal,Unperturbed_query - medium
DeepSeek-R1,1952.4146,1228.2194,2220.0915
DeepSeek-V3,546.5443,542.0644,464.7082
gpt-4.1-mini,285.3091,255.6562,216.1215
gpt-4.1,334.3983,291.2453,257.0799
gpt-4o,294.1756,292.5386,238.5989
gpt-4,213.9935,202.2952,163.2648
inference,N/A,N/A,N/A
llama-3-70b-instruct,274.5146,248.0000,210.4944
llama-4-scout,415.9539,399.6701,356.2545
o3-mini-medium,370.8997,379.0876,344.4834
o4-mini-medium,587.8382,557.1339,502.6915
Qwen2.5-Coder-32B-Instruct,421.2806,392.5490,357.8313
Qwen2.5-VL-72B-Instruct,454.7160,499.1726,411.7589
qwen3-14b_thinking,410.1300,364.0673,307.5785
Qwen3-235B-A22B,503.8240,475.7711,399.9977
Qwen3-32B,539.0157,483.3581,420.3934
