Model,medium,hard,normal
DeepSeek-R1,2220.0915,1952.4146,1228.2194
DeepSeek-V3,464.7082,546.5443,542.0644
gpt-4.1-mini,216.1215,285.3091,255.6562
gpt-4.1,257.0799,334.3983,291.2453
gpt-4o,238.5989,294.1756,292.5386
gpt-4,163.2648,213.9935,202.2952
inference,N/A,N/A,N/A
llama-3-70b-instruct,210.4944,274.5146,248.0000
llama-4-scout,356.2545,415.9539,399.6701
o3-mini-medium,344.4834,370.8997,379.0876
o4-mini-medium,502.6915,587.8382,557.1339
Qwen2.5-Coder-32B-Instruct,357.8313,421.2806,392.5490
Qwen2.5-VL-72B-Instruct,411.7589,454.7160,499.1726
qwen3-14b_thinking,307.5785,410.1300,364.0673
Qwen3-235B-A22B,399.9977,503.8240,475.7711
Qwen3-32B,420.3934,539.0157,483.3581
