Model,medium,hard,normal
DeepSeek-R1,1.6132,1.7811,1.1190
DeepSeek-V3,0.8795,0.7988,0.7548
gpt-4.1-mini,2.9405,2.3759,2.2415
gpt-4.1,2.1809,1.8213,1.8193
gpt-4o,1.6007,1.3837,1.3845
gpt-4,1.5485,1.2769,1.2823
inference,N/A,N/A,N/A
llama-3-70b-instruct,1.3690,1.2078,1.2118
llama-4-scout,1.4478,1.3474,1.3198
o3-mini-medium,2.7446,2.6771,2.2886
o4-mini-medium,1.7021,1.5758,1.5096
Qwen2.5-Coder-32B-Instruct,1.4821,1.2528,1.3641
Qwen2.5-VL-72B-Instruct,1.0661,1.0314,0.8919
qwen3-14b_thinking,1.6794,1.5186,1.4910
Qwen3-235B-A22B,1.7144,1.4811,1.4642
Qwen3-32B,1.6857,1.4208,1.4047
