Model,medium,hard,normal
DeepSeek-R1,1.6369,1.7315,1.1222
DeepSeek-V3,0.8570,0.8003,0.7658
gpt-4.1-mini,2.8099,2.3354,2.2072
gpt-4.1,2.1239,1.7703,1.7744
gpt-4o,1.5674,1.3339,1.3790
gpt-4,1.4338,1.1983,1.2169
inference,N/A,N/A,N/A
llama-3-70b-instruct,1.3711,1.2082,1.2380
llama-4-scout,1.4643,1.3558,1.3173
o3-mini-medium,2.5697,2.3566,2.1345
o4-mini-medium,1.6553,1.5496,1.4959
Qwen2.5-Coder-32B-Instruct,1.4170,1.2613,1.3817
Qwen2.5-VL-72B-Instruct,1.0657,1.0553,0.8928
qwen3-14b_thinking,1.5380,1.3603,1.4084
Qwen3-235B-A22B,1.6308,1.4097,1.4425
Qwen3-32B,1.5936,1.3766,1.3776
