Model,medium,hard,normal
DeepSeek-R1,0.7088,0.8241,0.7737
DeepSeek-V3,0.5474,0.6405,0.6972
gpt-4.1-mini,0.7671,0.8047,0.8000
gpt-4.1,0.8550,0.7880,0.7937
gpt-4o,0.5973,0.6822,0.7537
gpt-4,0.4210,0.5133,0.5543
inference,N/A,N/A,N/A
llama-3-70b-instruct,0.4443,0.4044,0.5374
llama-4-scout,0.6483,0.6478,0.6538
o3-mini-medium,0.7033,0.6403,0.6678
o4-mini-medium,0.6256,0.7404,0.7454
Qwen2.5-Coder-32B-Instruct,0.4143,0.6622,0.5607
Qwen2.5-VL-72B-Instruct,0.3727,0.5400,0.5591
qwen3-14b_thinking,0.5408,0.5000,0.6672
Qwen3-235B-A22B,0.7138,0.6817,0.7704
Qwen3-32B,0.6556,0.6350,0.7388
